PARID,neighbourhood_group,zipcode,neighbourhood,hotel_counts_per_neighbourhood
1006250055,Manhattan,10014,Greenwich Village,48
1006280004,Manhattan,10014,Greenwich Village,48
1006360041,Manhattan,10014,Greenwich Village,48
1006420001,Manhattan,10014,Greenwich Village,48
1006450011,Manhattan,10014,Greenwich Village,48
1006461102,Manhattan,10014,Greenwich Village,48
1006540031,Manhattan,10014,Greenwich Village,48
1006950001,Manhattan,10011,Chelsea,185
1006980047,Manhattan,10001,Chelsea,185
1007090052,Manhattan,10018,Hell's Kitchen,292
1007181102,Manhattan,10011,Chelsea,185
1007181103,Manhattan,10011,Chelsea,185
1007280042,Manhattan,10001,Chelsea,185
1007290061,Manhattan,10001,Chelsea,185
1007320001,Manhattan,10001,Chelsea,185
1007320070,Manhattan,10001,Chelsea,185
1007330060,Manhattan,10018,Hell's Kitchen,292
1007340007,Manhattan,10018,Hell's Kitchen,292
1007361002,Manhattan,10018,Hell's Kitchen,292
1007380025,Manhattan,10014,Greenwich Village,48
1007380028,Manhattan,10014,Greenwich Village,48
1007400001,Manhattan,10011,Chelsea,185
1007401001,Manhattan,10011,Chelsea,185
1007431003,Manhattan,10011,Chelsea,185
1007450040,Manhattan,10011,Chelsea,185
1007450048,Manhattan,10011,Chelsea,185
1007530033,Manhattan,10001,Chelsea,185
1007540018,Manhattan,10001,Chelsea,185
1007540036,Manhattan,10001,Chelsea,185
1007570017,Manhattan,10001,Chelsea,185
1007580037,Manhattan,10001,Chelsea,185
1007590014,Manhattan,10001,Chelsea,185
1007590026,Manhattan,10001,Chelsea,185
1007590055,Manhattan,10018,Hell's Kitchen,292
1007590059,Manhattan,10018,Hell's Kitchen,292
1007590061,Manhattan,10018,Hell's Kitchen,292
1007600018,Manhattan,10018,Hell's Kitchen,292
1007600020,Manhattan,10018,Hell's Kitchen,292
1007600039,Manhattan,10018,Hell's Kitchen,292
1007600051,Manhattan,10018,Hell's Kitchen,292
1007600058,Manhattan,10018,Hell's Kitchen,292
1007610028,Manhattan,10018,Hell's Kitchen,292
1007620006,Manhattan,10018,Hell's Kitchen,292
1007620016,Manhattan,10018,Hell's Kitchen,292
1007620038,Manhattan,10018,Hell's Kitchen,292
1007620061,Manhattan,10018,Hell's Kitchen,292
1007620067,Manhattan,10018,Hell's Kitchen,292
1007630012,Manhattan,10018,Hell's Kitchen,292
1007630013,Manhattan,10018,Hell's Kitchen,292
1007630014,Manhattan,10018,Hell's Kitchen,292
1007630028,Manhattan,10018,Hell's Kitchen,292
1007630032,Manhattan,10018,Hell's Kitchen,292
1007630047,Manhattan,10018,Hell's Kitchen,292
1007630054,Manhattan,10018,Hell's Kitchen,292
1007630056,Manhattan,10018,Hell's Kitchen,292
1007630060,Manhattan,10018,Hell's Kitchen,292
1007630065,Manhattan,10018,Hell's Kitchen,292
1007630067,Manhattan,10018,Hell's Kitchen,292
1007700008,Manhattan,10011,Chelsea,185
1007720047,Manhattan,10011,Chelsea,185
1007720064,Manhattan,10011,Chelsea,185
1007760033,Manhattan,10001,Chelsea,185
1007760047,Manhattan,10001,Chelsea,185
1007760055,Manhattan,10001,Chelsea,185
1007780057,Manhattan,10001,Chelsea,185
1007780075,Manhattan,10001,Chelsea,185
